Re = 1100,Re = 1400,Re = 1700,Re = 2000
3.96874466133153,4.86504114356561,5.96375613659289,7.31060359145957
0.129667007185916,0.160418896926683,0.198463919617396,0.245531718173462
116.108995542629,95.3777242397104,80.6743314016436,69.1272260202864
32.5966177628981,29.0842578755146,26.5335005688722,24.5712205408995
37.0602612087292,33.3753366252985,30.6766623527441,28.5862552349616
41.9803676810607,38.13756460691,35.3009432802146,33.0894264235211
46.3730969906687,42.3969496268968,39.4449530091782,37.1326155549423
48.9855526724446,44.9473599733265,41.9394880175844,39.577072942056
51.4712440058697,47.4130384710431,44.3795517795524,41.9901117179639
52.8961742704648,48.8830728382362,45.8745309512911,43.4990691848986
53.3193786750446,49.4084850636146,46.4693359431969,44.1439805908751
55.1254500884192,51.2155034703207,48.270123223138,45.9353313325033
22.8592940055591,23.1375082541237,23.9507172559837,23.9942821789715
37.3780352610999,34.9264407105188,33.0700457491076,31.5922299525397
